# wavelength_A flux_erg/s/cm2/A
# # Teff=5777 logg=4.44 [M/H]=0.0
1.691330e+03 7.536229e+02
1.703065e+03 1.120616e+03
1.714882e+03 2.026999e+03
1.726781e+03 3.280465e+03
1.738762e+03 3.915599e+03
1.750827e+03 5.832898e+03
1.762975e+03 4.653413e+03
1.775208e+03 7.900612e+03
1.787526e+03 8.433290e+03
1.799929e+03 1.193500e+04
1.812418e+03 1.201769e+04
1.824993e+03 8.701942e+03
1.837656e+03 1.342018e+04
1.850407e+03 1.359310e+04
1.863246e+03 2.046345e+04
1.876175e+03 2.361682e+04
1.889193e+03 2.124514e+04
1.902301e+03 2.763404e+04
1.915501e+03 3.071473e+04
1.928792e+03 2.174228e+04
1.942175e+03 3.858531e+04
1.955651e+03 4.522815e+04
1.969220e+03 4.830010e+04
1.982884e+03 4.108815e+04
1.996642e+03 6.215309e+04
2.010496e+03 5.741225e+04
2.024447e+03 4.812018e+04
2.038493e+03 8.991845e+04
2.052638e+03 9.336833e+04
2.066880e+03 8.770727e+04
2.081222e+03 1.463725e+05
2.095662e+03 1.547989e+05
2.110203e+03 1.964094e+05
2.124845e+03 1.621616e+05
2.139589e+03 1.879790e+05
2.154435e+03 2.394040e+05
2.169384e+03 1.903323e+05
2.184436e+03 2.681908e+05
2.199593e+03 3.555170e+05
2.214855e+03 1.699428e+05
2.230223e+03 3.013860e+05
2.245698e+03 3.539987e+05
2.261280e+03 2.958394e+05
2.276970e+03 2.729903e+05
2.292769e+03 3.158745e+05
2.308678e+03 3.291531e+05
2.324697e+03 3.387621e+05
2.340827e+03 2.704348e+05
2.357069e+03 2.537336e+05
2.373424e+03 2.811477e+05
2.389893e+03 1.940043e+05
2.406475e+03 2.253389e+05
2.423173e+03 4.037624e+05
2.439986e+03 4.646457e+05
2.456916e+03 5.252586e+05
2.473964e+03 4.396262e+05
2.491130e+03 3.147342e+05
2.508415e+03 3.978598e+05
2.525820e+03 2.585927e+05
2.543346e+03 4.196817e+05
2.560993e+03 6.311599e+05
2.578763e+03 8.471111e+05
2.596656e+03 6.933019e+05
2.614673e+03 5.937562e+05
2.632815e+03 1.230539e+06
2.651084e+03 2.312836e+06
2.669478e+03 1.607874e+06
2.688001e+03 2.236109e+06
2.706652e+03 1.700922e+06
2.725433e+03 1.288585e+06
2.744343e+03 7.425581e+05
2.763385e+03 1.104369e+06
2.782559e+03 6.741260e+05
2.801867e+03 2.422618e+05
2.821308e+03 1.140972e+06
2.840884e+03 1.250413e+06
2.860596e+03 1.122199e+06
2.880444e+03 2.041408e+06
2.900430e+03 2.756150e+06
2.920556e+03 2.642478e+06
2.940820e+03 3.114109e+06
2.961225e+03 3.248922e+06
2.981772e+03 2.854325e+06
3.002462e+03 3.211212e+06
3.023295e+03 3.201334e+06
3.044272e+03 3.171980e+06
3.065395e+03 3.199584e+06
3.086665e+03 3.323407e+06
3.108082e+03 4.032352e+06
3.129648e+03 3.539847e+06
3.151363e+03 3.537998e+06
3.173230e+03 3.577132e+06
3.195248e+03 3.406704e+06
3.217418e+03 3.318062e+06
3.239743e+03 3.338446e+06
3.262222e+03 4.198089e+06
3.284857e+03 3.893346e+06
3.307650e+03 4.258524e+06
3.330600e+03 4.400696e+06
3.353710e+03 3.493813e+06
3.376980e+03 3.419422e+06
3.400412e+03 3.500817e+06
3.424006e+03 4.059574e+06
3.447764e+03 3.893555e+06
3.471687e+03 3.751891e+06
3.495776e+03 4.327605e+06
3.520031e+03 3.884887e+06
3.544456e+03 4.564310e+06
3.569049e+03 4.004679e+06
3.593814e+03 3.637436e+06
3.618750e+03 3.591615e+06
3.643859e+03 4.946824e+06
3.669142e+03 5.698332e+06
3.694601e+03 5.529542e+06
3.720237e+03 4.168610e+06
3.746050e+03 4.908615e+06
3.772042e+03 5.242998e+06
3.798215e+03 4.903067e+06
3.824570e+03 5.143976e+06
3.851107e+03 5.103366e+06
3.877828e+03 5.220859e+06
3.904735e+03 5.528006e+06
3.931829e+03 2.990624e+06
3.959110e+03 4.043915e+06
3.986581e+03 6.169688e+06
4.014242e+03 7.651694e+06
4.042096e+03 8.335064e+06
4.070142e+03 7.123377e+06
4.098384e+03 7.151180e+06
4.126821e+03 6.693820e+06
4.155455e+03 6.402882e+06
4.184289e+03 7.412458e+06
4.213322e+03 7.507650e+06
4.242556e+03 7.364490e+06
4.271994e+03 7.158337e+06
4.301636e+03 6.058038e+06
4.331483e+03 6.169742e+06
4.361538e+03 7.708647e+06
4.391801e+03 6.949358e+06
4.422274e+03 7.427048e+06
4.452959e+03 8.497007e+06
4.483856e+03 8.082373e+06
4.514968e+03 8.168347e+06
4.546295e+03 7.485500e+06
4.577841e+03 8.146386e+06
4.609604e+03 7.859714e+06
4.641589e+03 8.361334e+06
4.673795e+03 8.768696e+06
4.706225e+03 7.796884e+06
4.738880e+03 7.722514e+06
4.771761e+03 7.419631e+06
4.804870e+03 8.943246e+06
4.838210e+03 8.177877e+06
4.871780e+03 6.275356e+06
4.905584e+03 7.854176e+06
4.939622e+03 8.790327e+06
4.973896e+03 8.120774e+06
5.008408e+03 6.407587e+06
5.043159e+03 7.129026e+06
